BibCode,Title,Author,AUaff1,AUaff2,AUaff3,Publication,Date,YYYY,URL,DOI,Notes,Instru,ObsDate,ProjCode,TAC,Subject
1994ApJ...420L...1S,"Deep imaging of the field of the Z = 4.9 quasar PC 1247+3406, and faint galaxy counts in the K band with the Keck telescope","Soifer, B.|Matthews, K.|Djorgovski, S.|et. al.",,,,ApJ 420 L1,1994 January,1994,http://dx.doi.org/10.1086/187148,,,NIRC,,,,
1994ApJ...420L..13M,Near-infrared imaging of FSC 10214+4724 with the W. M. Keck Telescope,"Matthews, K.|Soifer, B.|Nelson, J.|et. al.",,,,ApJ 420 L13,1994 January,1994,https://ui.adsabs.harvard.edu/link_gateway/1994ApJ...420L..13M/ADS_PDF,10.1086/187151,,NIRC,,,,
1994ApJ...420L...9L,Near Infrared Images of MG 1131+0456 with the W.M. Keck Telescope. Another Dusty Gravitational Lens?,"Larkin, J.|Matthews, K.|Lawrence, C.|et. al.",,,,ApJ 420 L9,1994 January,1994,https://ui.adsabs.harvard.edu/link_gateway/1994ApJ...420L...9L/ADS_PDF,10.1086/187150,,NIRC,,,,
1994ApJ...420L...5G,"Infrared Observations of the z=3.8 Radio Galaxy, 4C 41.17, with the W.M. Keck Telescope","Graham, J.|Matthews, K.|Soifer, B.|Nelson, J.|Harrison, W.|Jernigan, J.|Lin|Neugebauer, G.|Smith, G.|Ziomkowski",,,,ApJ 420 L5,1994 January,1994,https://ui.adsabs.harvard.edu/link_gateway/1994ApJ...420L...5G/ADS_PDF,10.1086/187149,,NIRC,,,,
1994Natur.368..599S,Deuterium abundance and background radiation temperature in high-redshift primordial clouds,"Songaila, A.|Cowie, L.|Hogan, C.|Rugers, M.",,,,Nature 368 599,1994 April,1994,,10.1038/368599a0,,HIRES,,,,
1994AJ....107.2222M,The Spectrum of the Brown Dwarf Candidate PC 0025+0447,"Mould, J.|Cohen, J.|Oke, J.|Reid, N.",,,,AJ 107 2222,1994 June,1994,https://authors.library.caltech.edu/96085/,10.1086/117032,,LRIS,,,,
1994ApJ...428L..57M,A Search for Lithium in Pleiades Brown Dwarf Candidates Using the Keck HIRES Echelle,"Marcy, G.|Basri, G.|Graham, J.",,,,ApJ 428 L57,1994 June,1994,http://dx.doi.org/10.1086/187392,10.1086/187392,,HIRES,,,,
1994Natur.371...13M,A Distant Space Thermometer,"Meyer, D.",,,,Nature 371 13,1994 September,1994,http://dx.doi.org/10.1038/371013a0,10.1038/371013a0,,HIRES,,,,
1994Natur.371...43S,Measurement of the Microwave Background Temperature at a Redshift of 1.776,"Songaila, A.|Cowie, L.|Vogt, S.|et. al.",,,,Nature 371 43,1994 September,1994,http://dx.doi.org/10.1038/371043a0,10.1038/371043a0,,HIRES,,,,
1994ApJ...433L..69S,Near Infrared Observation of FSC 15307+3252,"Soifer, B.|Neugebauer, G.|Matthews, K.|Armus, L.",,,,ApJ 433 L69,1994 October,1994,https://ui.adsabs.harvard.edu/link_gateway/1994ApJ...433L..69S/ADS_PDF,10.1086/187550,,NIRC,,,,
1994ApJ...435L.101W,Metal Abundances in a High Redshift Protogalaxy Obtained with the Keck Telescope,"Wolfe, A.|Fan, X.|Tytler, D.|et. al.",,,,ApJ 435 L101,1994 November,1994,http://dx.doi.org/10.1086/187604,10.1086/187604,,HIRES,,,,
1995LNP...463..125B,Deep near-infrared imaging with the Keck Telescope,"Bershady, M.",,,,LNP 463 125,1995,1995,http://dx.doi.org/10.1007/BFb0102369,,added oct 2010,NIRC,,,,
1995ApJ...438L..13D,Deep Galaxy Counts in the K-band with the Keck Telescope,"Djorgovski, S.|Soifer, B.|Pahre, M.|et. al.",,,,ApJ 438 L13,1995 January,1995,,,,NIRC,,,,
1995AJ....109..151V,Internal Kinematics of the Leo II Dwarf Spheroidal Galaxy,"Vogt, S.|Mateo, M.|Olszewski, E.|Keane, M.",,,,AJ 109 151,1995 January,1995,,,,HIRES,,,,
1995ApJ...438L..51S,Keck Observations of the Most Distant Galaxy 8C 1435+63 at z=4.25,"Spinrad, H.|Dey, A.|Graham, J.",,,,ApJ 438 L51,1995 January 10,1995,,,,LRIS,,,,
1995AJ....109..762B,A Surprise at the Bottom of the Main Sequence: Rapid Rotation and No H Alpha Emission,"Basri, G.|Marcy, G.",,,,AJ 109 762,1995 February,1995,,,,HIRES,,,,
1995PASP..107..179G,Spectropolarimetry. II. Circular Polarization Optics and Techniques,"Goodrich, R.|Cohen, M.|Putney, A.",,,,PASP 107 179,1995 February,1995,,,,LRIS,,,,
1995ApJ...440..515D,Discovery of a z=2.76 Dusty Radio Galaxy?,"Dey, A.|Spinrad, H.|Dickinson, M.",,,,ApJ 440 515,1995 February 20,1995,,,,LRIS,,,,
1995ApJ...440L..49K,High-Resolution Spectra of Distant Compact Narrow Emission Line Galaxies: Progenitors of Spheroidal Galaxies?,"Koo, D.|Guzman, R.|Faber, S.M.|et. al.",,,,ApJ 440 L49,1995 February 20,1995,,,,HIRES,,,,
1995Sci...267.1320G,The Fragment R Collision: W. M. Keck Telescope Observations of SL9,"Graham, J.|de Pater, I.|Jernigan, J.|Liu, M.|Brown, M.",,,,Science 267 1320,1995 March,1995,,,,NIRC,,,,Solar System
1995AJ....109.1522C,The Metallicity and Internal Structure of the Lyman-Alpha Forest Clouds,"Cowie, L.|Songaila, A.|Kim, T.|Hu, E.",,,,AJ 109 1522,1995 April,1995,,,,HIRES,,,,
1995PASP..107..375O,The Keck Low-Resolution Imaging Spectrometer,"Oke, J.|Cohen,  J.|Carr, M.|et. al.",,,,PASP 107 375,1995 April,1995,,,,LRIS,,,,
1995ApJ...443L..65S,Near Infrared and Optical Spectroscopy of FSC10214+4724,"Soifer, B.|Cohen, J.|Armus, L.|et. al.",,,,ApJ 443 L65,1995 April 20,1995,,,,LRIS|NIRC,,,,
1995ApJ...443L..69S,The Nature of the Stellar continuum in the Radio Galaxy 3C 65,"Stockton, A.|Kellogg, M.|Ridgway, S.",,,,ApJ 443 L69,1995 April 20,1995,,,,LRIS,,,,
1995ApJ...444..165H,Probing the Interstellar Medium Along the Lines of Sight to Supernovae SN 1994D and SN 1994I,"Ho, L.|Filippenko, A.",,,,ApJ 444 165,1995 May 01,1995,,,,HIRES,,,,
1995Natur.375..124S,A Population of Very Diffuse Lyman-alpha Clouds as the Origin of the He+ Absorption Signal in the Intergalactic Medium,"Songaila, A .|Hu, E.|Cowie, L.",,,,Nature 375 124,1995 May 11,1995,,,,HIRES,,,,
1995PASP..107..566M,Spectroscopy of Quasar Candidates from the Case Low-Dispersion Survey,"Maxfield, L.|Djorgovski, S.|Thompson, D.",,,,PASP 107 566,1995 June,1995,http://dx.doi.org/10.1086/133593,,,LRIS,,,,
1995ApJ...448L...5M,An Emission-Line Protogalaxy Candidate at z = 2.5,"Malkan, M.|Teplitz, H.|McLean, I.",,,,ApJ 448 L5,1995 July,1995,,,,NIRC,,,,
1995ApJ...447L...5M,1608+656: A Quadruple-lens System Found in the CLASS Gravitational Lens Survey,"Myers, S.|Fassnacht,C.|Djorgovski, S.|Blandford, R.",,,,ApJ 447 L5,1995 July,1995,,,,LRIS,,,,
1995ApJ...449L.105S,Deep Optical Galaxy Counts with the Keck Telescope,"Smail, I.|Hogg, D.|Yan, L.|Cohen, J.",,,,ApJ 449 L105,1995 August,1995,,,,LRIS,,,,
1995ApJ...448L..77C,Spectropolarimetry of Two Broad absorption Line Quasars with the W. M. Keck Telescope,"Cohen, M.|Ogle, P.|Tran, H.|et. al.",,,,ApJ 448 L77,1995 August 01,1995,,,,LRIS,,,,
1995ApJ...449L..29G,High-resolution Infrared Imaging of FSC 10214+4724 Evidence for Gravitational Lensing,"Graham J.|Liu, M.",,,,ApJ 449 L29,1995 August 10,1995,,,,NIRC,,,,
1995ApJ...449L...1P,A Near-Infrared Search for Line Emission from Protogalaxies Using the W.M. Keck Telescope,"Pahre, M.|Djorgovski, S.",,,,ApJ 449 L1,1995 August 10,1995,,,,NIRC,,,,
1995ApJ...449L.117B,The Brown Dwarf Candidate 0918-0023B is a Distant Compact Galaxy,"Becklin, E.|Macintosh, B.|Zuckerman, B.",,,,ApJ 449 L117,1995 August 20,1995,,,,NIRC,,,,
1995ApJ...451L..67P,Three New Magnetic White Dwarf Stars,"Putney, A.",,,,ApJ 451 L67,1995 October,1995,,,,LRIS,,,,
1995AJ....110.1838R,The Palomar/MSU Nearby-Star Spectroscopic Survey. I. The Northern M Dwarfs -Bandstrengths and Kinematics,"Reid, I.|Hawley, S.|Gizis, J.",,,,AJ 110 1838,1995 October,1995,http://dx.doi.org/10.1086/117655,,,LRIS,,,,
1995ApJ...452L..13D,Evidence of Higher Primordial Lithium from Keck Observations of M92,"Deliyannis, C.|Boesgaard, A.|King, J.",,,,ApJ 452 L13,1995 October 10,1995,,,,HIRES,,,,
1995ApJ...452L...5V,When is BL Lac not a BL Lac?,"Vermeulen, R.|Ogle, P.|Tran, H.|et. al.",,,,ApJ 452 L5,1995 October 10,1995,,,,LRIS,,,,
